Month,Year,Quarter,District,Street,Control Number,Connection Type,Service Address,Previous Reading,Present Reading,Cleaned Previous Reading,Cleaned Present Reading,Cleaned Consumption,Record Status,Connection Status
MAY,2024,Q2,District 2,Jones Street,500737,Residential,"Jones St, Dist. 2",833,871,833.0,871.0,38,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,500960,Residential,"Jones St, Dist. 2",204,211,204.0,211.0,7,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,500792,Residential,"Jones St, Dist. 2",1158,1158,1158.0,1158.0,0,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,501817,Residential,"Jones St, Dist. 2",122,125,122.0,125.0,3,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,501032,Residential,"Jones St, Dist. 2",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 2,Jones Street,500700,Commercial,"Jones St, Dist. 2",4007,4061,4007.0,4061.0,54,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,501184,Residential,"Jones St, Dist. 2",979,996,979.0,996.0,17,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,501623,Residential,"Jones St, Dist. 2",1454,1470,1454.0,1470.0,16,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,500846,Residential,"Jones St, Dist. 2",426,433,426.0,433.0,7,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,500458,Residential,"Jones St, Dist. 2",137,176,137.0,176.0,39,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,500849,Residential,"Jones St, Dist. 2",3463,3481,3463.0,3481.0,18,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,500291,Residential,"Jones St, Dist. 2",2297,2317,2297.0,2317.0,20,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,500730,Residential,"Jones St, Dist. 2",805,815,805.0,815.0,10,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,500868,Residential,"Jones St, Dist. 2",2521,2528,2521.0,2528.0,7,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,501078,Residential,"Jones St, Dist. 2",346,360,346.0,360.0,14,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,501122,Residential,"Jones St, Dist. 2",377,377,377.0,377.0,0,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,500735,Residential,"Jones St, Dist. 2",1007,1019,1007.0,1019.0,12,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,501189,Residential,"Jones St, Dist. 2",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 2,Jones Street,500731,Commercial,"Jones St, Dist. 2",8848,8858,8848.0,8858.0,10,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,500463,Residential,"Jones St, Dist. 2",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 2,Jones Street,500761,Residential,"Jones St, Dist. 2",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 2,Jones Street,501499,Residential,"Jones St, Dist. 2",1728,1783,1728.0,1783.0,55,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,500898,Residential,"Jones St, Dist. 2",,,,,0,Corrected,Disconnected
MAY,2024,Q2,District 2,Jones Street,500272,Residential,"Jones St, Dist. 2",2763,2774,2763.0,2774.0,11,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,501714,Residential,"Jones St, Dist. 2",2262,2322,2262.0,2322.0,60,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,501061,Residential,"Jones St, Dist. 2",2537,2570,2537.0,2570.0,33,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,501054,Residential,"Jones St, Dist. 2",22,31,22.0,31.0,9,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,502005,Residential,"Jones St, Dist. 2",87,87,87.0,87.0,0,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,501546,Residential,"Jones St, Dist. 2",3392,3449,3392.0,3449.0,57,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,500819,Commercial,"Jones St, Dist. 2",2468,2474,2468.0,2474.0,6,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,501080,Residential,"Jones St, Dist. 2",591,634,591.0,634.0,43,Corrected,Active
MAY,2024,Q2,District 2,Jones Street,501514,Residential,"Jones St, Dist. 2",1199,1203,1199.0,1203.0,4,Corrected,Active
